Desert,Mountain,Water,Land,Forest,Snow,Average_Temperature,Is_Raining,Had_A_Good_Sleep,Winner,Winner_Time,Second,Second_Time,Third,Third_Time
9621,2710,9048,2435,6608,576,13,Yes,Yes,dragon,255,monkey,273,tiger,282
4388,6761,6385,1621,4948,7544,24,Yes,Yes,monkey,243,tiger,252,dragon,253
9033,7739,4302,7987,6932,510,33,Yes,No,rat,272,horse,273,snake,275
565,2775,891,8750,2739,3700,10,Yes,Yes,horse,124,rooster,130,goat,136
2968,2792,515,7159,4901,2221,39,Yes,Yes,ox,94,rabbit,115,pig,118
9364,8973,1353,8410,4896,9047,33,Yes,No,horse,306,dog,317,snake,320
8255,3056,7386,8248,7192,7425,39,Yes,Yes,ox,260,rabbit,263,pig,267
3201,6879,604,3491,8082,9945,19,Yes,Yes,goat,212,monkey,225,snake,238
9198,9810,9901,9526,8308,5969,20,Yes,Yes,rat,403,snake,413,tiger,418
4385,3264,7769,6010,6425,380,39,Yes,Yes,pig,164,ox,190,rabbit,210
9512,4665,6963,8570,7058,9836,25,Yes,Yes,dog,353,snake,362,rat,371
7877,8714,5798,887,7,6494,33,Yes,No,rat,223,dragon,227,monkey,241
7284,156,8128,4493,9394,9826,26,Yes,Yes,dog,296,tiger,307,snake,307
3190,1131,9125,9535,7530,4862,18,Yes,Yes,pig,273,dog,276,rat,280
6026,5756,5312,3683,2439,5490,11,Yes,No,dragon,234,monkey,236,horse,239
2892,2398,5284,3443,2569,4115,21,Yes,Yes,rat,163,dog,167,tiger,170
2995,2921,4692,5786,7758,3814,25,Yes,No,snake,213,tiger,216,dog,218
6097,3906,9385,1311,6748,3378,31,Yes,Yes,tiger,226,rat,242,dragon,244
2490,1356,6859,9113,7582,7919,36,Yes,Yes,rabbit,206,pig,206,ox,212
9063,6296,3288,1154,2233,2800,12,Yes,Yes,dragon,203,monkey,207,horse,208
123,204,8095,3307,6865,5546,25,Yes,No,tiger,182,monkey,193,snake,196
5765,4620,4649,8248,5521,941,10,Yes,Yes,horse,225,pig,246,dragon,255
9435,8203,4256,7140,5821,7981,26,Yes,No,snake,330,dog,330,rat,334
8898,8023,1192,6573,1388,5190,12,Yes,Yes,horse,223,goat,252,monkey,258
9864,3517,5706,1913,2423,968,39,Yes,No,rat,177,ox,178,pig,179
3593,3436,3818,8700,5095,7753,27,Yes,Yes,dog,247,horse,248,snake,253
6727,9689,2817,5938,1709,7360,40,Yes,No,ox,207,rabbit,207,horse,253
3445,5913,5953,2419,3396,3141,23,Yes,No,rat,186,dragon,186,tiger,190
4555,650,2513,6485,1190,3427,23,Yes,No,dog,138,rat,144,horse,146
7690,6786,3106,8360,3559,4699,18,Yes,Yes,horse,251,rat,258,dog,262
8147,3747,5145,1928,9630,3824,14,Yes,Yes,monkey,258,dragon,283,horse,284
3348,5242,8499,6296,2645,3323,30,Yes,Yes,rat,218,dragon,228,tiger,237
5704,2691,7383,7476,6244,2208,24,Yes,No,rat,243,dog,246,tiger,248
1073,1140,5649,3940,3677,5591,36,Yes,No,rabbit,130,pig,132,ox,146
2122,4344,4464,3056,7415,5984,19,Yes,Yes,monkey,206,goat,209,tiger,211
7527,3107,4902,1211,8577,5428,15,Yes,No,monkey,242,dragon,271,goat,271
394,7807,8701,5021,910,3558,40,Yes,No,pig,172,dragon,185,rabbit,186
4741,9850,9768,2187,4203,9092,13,Yes,Yes,dragon,303,monkey,309,goat,322
4197,1215,8774,1026,8538,108,17,Yes,No,tiger,159,snake,185,rat,191
7298,5813,5617,2312,3022,2788,36,Yes,Yes,ox,190,pig,195,rabbit,200
8208,4753,9140,4918,9382,5615,13,Yes,Yes,monkey,345,dragon,354,horse,368
6737,7887,922,6438,4962,9289,14,Yes,No,goat,264,horse,266,monkey,278
8095,7192,3050,7854,578,235,38,Yes,No,ox,157,rabbit,179,pig,182
3906,9652,4364,2299,5419,8435,33,Yes,Yes,goat,247,monkey,250,snake,267
263,8307,6286,7338,8759,9275,33,Yes,No,goat,282,rooster,289,monkey,299
4686,8182,4867,5795,9171,8539,16,Yes,Yes,goat,308,monkey,311,snake,314
9258,6950,1305,3870,4844,851,11,Yes,Yes,horse,202,monkey,225,dragon,232
6772,527,1883,5574,7762,8895,12,Yes,Yes,monkey,246,horse,258,goat,258
502,2988,2956,9236,4779,8038,19,Yes,Yes,rooster,199,goat,203,horse,209
7203,82,5431,3951,9255,8434,40,Yes,No,ox,216,rabbit,220,pig,228
1711,7289,2998,557,4702,2785,30,Yes,Yes,goat,142,monkey,145,tiger,151
5166,9135,3873,9278,3474,2941,39,Yes,Yes,ox,194,rabbit,214,pig,219
32,9981,9615,650,7679,2601,35,Yes,Yes,pig,207,dragon,211,tiger,219
4103,787,1635,2945,5736,2457,15,Yes,No,monkey,143,horse,147,goat,155
4883,8913,6419,1151,333,2566,25,Yes,No,dragon,169,rat,174,tiger,195
4344,4076,4334,7826,2830,7451,29,Yes,Yes,dog,239,horse,240,rat,243
5574,4367,3919,8036,8628,204,17,Yes,No,snake,226,horse,230,tiger,235
4115,5512,2080,1507,3030,984,11,Yes,Yes,horse,135,dragon,138,monkey,138
9826,1223,3537,9595,7167,3849,11,Yes,Yes,horse,275,pig,299,ox,302
7090,8377,5250,1929,1204,7989,13,Yes,Yes,monkey,252,dragon,253,goat,262
2344,8779,2719,717,552,4441,34,Yes,No,goat,136,dragon,141,monkey,146
1976,2507,2859,8678,8846,5955,22,Yes,No,rooster,228,goat,230,snake,231
4893,3273,3747,4976,5701,326,38,Yes,Yes,ox,137,pig,139,rabbit,164
5130,3169,3097,9638,7200,8413,24,Yes,Yes,dog,272,snake,279,horse,279
9588,4266,6933,9750,619,4630,22,Yes,No,rat,259,dog,274,horse,287
6032,4386,3170,6043,4638,9189,26,Yes,Yes,dog,253,snake,260,monkey,265
7961,6315,8503,1191,5519,8743,26,Yes,No,tiger,300,monkey,303,rat,306
50,7024,6851,7427,6310,8107,25,Yes,No,goat,260,rooster,261,monkey,275
4404,7234,4050,6463,4231,2839,39,Yes,Yes,ox,175,pig,192,rabbit,194
7959,405,5115,96,5167,8739,27,Yes,No,dog,205,snake,216,tiger,218
861,5377,4505,6084,3101,2685,16,Yes,Yes,horse,170,rooster,172,rat,173
1238,6218,1914,4716,3980,977,40,Yes,No,ox,105,pig,120,rabbit,126
2048,7929,8909,5237,9888,989,40,Yes,Yes,pig,210,ox,235,tiger,254
9355,7661,5181,7669,3026,5501,26,Yes,No,rat,289,dog,299,snake,300
2208,5752,5461,7627,9886,2717,20,Yes,Yes,snake,253,tiger,257,horse,258
7235,4244,7536,609,9373,4538,38,Yes,No,pig,233,ox,239,tiger,243
8464,432,7240,817,6062,9645,10,Yes,No,monkey,263,dragon,292,goat,306
9202,657,3065,7141,4209,8361,35,Yes,No,rabbit,182,ox,188,pig,221
6638,3315,6668,9230,4645,9275,18,Yes,Yes,dog,304,rat,315,snake,316
4577,4379,6084,9215,1183,203,27,Yes,Yes,rat,179,horse,192,pig,204
2470,9140,8478,6214,7553,5746,40,Yes,Yes,pig,256,ox,261,rabbit,272
3277,9332,9837,5320,2084,8635,16,Yes,Yes,dragon,292,rat,295,monkey,309
6555,1206,3115,2025,6966,7619,38,Yes,No,ox,171,rabbit,176,pig,197
8263,6817,4568,5790,3370,7199,26,Yes,Yes,rat,278,dog,280,snake,283
1052,7785,4590,1245,1289,3486,19,Yes,No,dragon,134,goat,143,rat,148
1786,1971,8976,1018,713,6614,26,Yes,Yes,dragon,159,rat,168,tiger,173
7549,297,3758,8864,820,8494,27,Yes,No,dog,213,rat,233,horse,239
583,269,2300,9251,9479,3936,31,Yes,No,pig,178,rooster,180,snake,189
2536,6319,9735,855,4749,9441,22,Yes,Yes,monkey,257,dragon,259,tiger,265
577,5039,2804,1576,6292,6700,27,Yes,Yes,goat,154,monkey,161,rooster,171
3006,7698,1559,167,6329,6647,37,Yes,No,ox,158,rabbit,170,goat,172
7263,930,8079,2911,2997,3928,19,Yes,Yes,rat,200,dog,205,tiger,206
1471,741,3136,6769,2978,2120,13,Yes,Yes,pig,126,horse,130,rooster,137
8986,497,1879,1055,4047,9684,14,Yes,Yes,monkey,205,goat,231,dog,231
1745,5586,4074,9723,7711,6925,36,Yes,No,ox,195,rabbit,205,pig,213
5770,5113,2763,4850,7124,6962,13,Yes,No,monkey,250,goat,254,horse,257
9716,2412,2196,287,9301,9150,18,Yes,Yes,dog,240,snake,243,monkey,248
1452,3184,3969,4512,5571,2499,28,Yes,Yes,snake,163,tiger,164,monkey,169
8612,5440,586,5567,6018,4404,14,Yes,Yes,horse,228,monkey,245,goat,249
5381,426,7551,7733,3110,4708,26,Yes,Yes,rat,222,dog,222,snake,237
6713,684,7038,4938,70,4937,12,Yes,Yes,dragon,209,horse,223,monkey,225
2962,4631,6216,8286,5644,1900,28,Yes,No,rat,225,horse,229,snake,233
1565,7149,8839,8640,129,5623,14,Yes,Yes,dragon,243,horse,254,rooster,257
6107,9436,1869,660,6195,8602,27,Yes,No,goat,235,monkey,235,snake,249
4697,253,474,1875,9909,4267,19,Yes,No,snake,148,dog,151,tiger,157
1142,3591,2375,4354,9139,4351,19,Yes,Yes,goat,178,snake,183,monkey,183
7215,2584,1853,7883,958,4325,35,Yes,Yes,ox,136,rabbit,137,pig,165
3971,6493,7294,6828,5204,9406,37,Yes,Yes,rabbit,242,ox,254,pig,262
518,6022,946,2050,4931,8476,32,Yes,Yes,goat,139,monkey,155,rooster,161
3289,3148,3913,6363,3365,9925,33,Yes,No,dog,231,goat,232,monkey,236
847,7030,6902,88,3985,4754,27,Yes,Yes,dragon,169,monkey,176,tiger,180
8415,4213,5766,9667,8378,3274,35,Yes,No,ox,230,pig,241,rabbit,260
1186,298,1893,2635,9289,6337,18,Yes,Yes,monkey,153,snake,157,goat,158
9763,7032,7222,2541,6635,6118,14,Yes,No,monkey,317,dragon,326,horse,340
2645,4308,7105,1768,2529,3301,28,Yes,No,dragon,163,rat,167,tiger,170
6494,933,7557,6855,6086,3517,24,Yes,Yes,dog,241,rat,245,tiger,247
5221,8884,4494,555,7851,2730,22,Yes,No,tiger,218,snake,224,monkey,224
6611,5697,7790,3416,9980,9211,17,Yes,No,tiger,329,snake,330,monkey,330
8841,2850,2968,1814,7359,8149,18,Yes,No,dog,237,snake,239,monkey,248
8612,4134,7676,733,3707,6289,24,Yes,Yes,rat,244,tiger,245,dog,247
7838,4021,7917,6402,9586,5581,12,Yes,Yes,monkey,340,horse,352,dragon,357
9673,8664,8995,4985,134,9228,33,Yes,No,rat,312,dragon,331,dog,335
2236,1104,7768,4356,5623,799,29,Yes,No,tiger,160,pig,166,rat,170
3316,1075,8338,9578,4967,3340,21,Yes,Yes,pig,232,rat,235,dog,239
3794,5762,3525,5244,5153,685,19,Yes,Yes,horse,181,rat,183,snake,185
6851,8960,8495,2814,990,543,27,Yes,No,rat,198,dragon,202,tiger,224
649,8212,6028,3689,2339,321,28,Yes,Yes,dragon,145,rat,154,horse,164
1283,352,709,7744,9468,1232,11,Yes,No,ox,135,pig,136,horse,145
5339,8726,8245,5325,8538,4323,22,Yes,Yes,tiger,309,rat,316,snake,316
2994,2162,2762,9624,4836,4093,17,Yes,No,horse,190,dog,198,snake,204
2743,8220,794,4272,8117,2331,40,Yes,Yes,ox,138,pig,175,rabbit,177
6782,8503,6737,3888,9884,3638,37,Yes,No,ox,256,pig,266,rabbit,289
4910,718,7359,7325,4000,7870,29,Yes,Yes,dog,246,rat,256,snake,262
7274,5880,9416,4150,5933,3627,36,Yes,Yes,pig,243,ox,258,rabbit,270
6020,2428,1467,373,2774,3604,32,Yes,No,dog,125,snake,127,tiger,134
3313,4500,2585,9090,5811,6993,31,Yes,Yes,horse,236,goat,241,dog,244
5191,810,9225,2831,2842,7728,16,Yes,Yes,rat,229,dog,229,tiger,233
7050,1905,5141,6704,8466,2014,20,Yes,Yes,snake,235,dog,235,tiger,240
5552,8370,8640,4501,9976,9997,16,Yes,Yes,monkey,360,tiger,366,snake,367
8031,8496,2533,3557,7617,8296,30,Yes,No,snake,291,monkey,291,goat,294
4242,9896,1411,8407,1980,9324,19,Yes,Yes,horse,242,goat,242,monkey,272
4499,3691,6668,4218,5475,7717,39,Yes,No,rabbit,209,ox,218,pig,218
8154,4920,7604,8548,7515,6734,25,Yes,Yes,dog,335,snake,339,rat,340
5900,2726,6653,6375,6237,2538,22,Yes,Yes,rat,236,tiger,237,dog,237
8205,1816,3961,1881,2612,3041,21,Yes,No,dog,162,rat,166,snake,169
5188,3770,9386,8811,2619,7428,37,Yes,Yes,rabbit,232,pig,236,ox,252
7456,3796,5909,8951,6264,5677,18,Yes,Yes,dog,288,rat,296,snake,296
8137,6328,5926,3746,10,5379,31,Yes,Yes,rat,218,dragon,237,dog,237
2347,9991,7798,7453,8627,9201,28,Yes,No,goat,337,monkey,346,rooster,350
8562,4498,8891,3940,3700,3678,26,Yes,Yes,rat,249,tiger,261,dog,266
1253,261,2436,8112,8090,6718,14,Yes,Yes,rooster,196,goat,202,horse,206
3037,2274,6235,1223,5907,2115,16,Yes,No,tiger,151,snake,164,rat,170
9890,251,745,8800,530,7425,16,Yes,Yes,dog,187,horse,209,rat,213
5704,737,5215,6231,3295,8283,12,Yes,Yes,monkey,248,horse,252,goat,261
577,7217,6087,4124,7488,1431,39,Yes,Yes,pig,165,ox,177,tiger,199
3924,1046,4517,4680,1691,5326,26,Yes,Yes,dog,165,rat,168,snake,175
11,8123,1516,5792,9297,8455,40,Yes,Yes,ox,176,rabbit,191,goat,205
8738,5577,5265,5370,1765,4763,18,Yes,Yes,rat,235,dog,245,snake,251
341,9114,1574,1121,1459,108,38,Yes,Yes,goat,83,dragon,87,ox,91
3571,2550,3747,7862,3232,3390,37,Yes,No,ox,139,rabbit,143,pig,144
2399,8235,7762,3452,4298,5347,12,Yes,No,dragon,237,monkey,247,goat,250
271,7839,4710,5552,8904,1079,23,Yes,Yes,rooster,203,goat,204,tiger,210
34,8571,705,7728,505,5835,26,Yes,No,goat,140,horse,144,rooster,147
2012,7697,4950,9601,4241,1076,34,Yes,Yes,horse,206,rat,218,rooster,223
3926,1910,1583,6247,1136,5129,13,Yes,No,horse,148,rabbit,162,goat,164
6975,9248,71,8245,9641,7614,12,Yes,No,horse,294,goat,296,monkey,314
7881,3472,9699,8817,1553,8920,19,Yes,Yes,rat,307,dog,314,snake,333
1864,9095,1100,4909,4379,8906,24,Yes,Yes,goat,191,horse,215,monkey,216
5353,9740,2445,5496,5191,4319,37,Yes,No,ox,187,rabbit,211,pig,228
6158,565,2344,6203,3391,2182,14,Yes,Yes,horse,163,pig,178,ox,181
1801,1255,4859,2256,8447,4418,27,Yes,No,tiger,170,snake,174,monkey,175
902,6218,1990,9584,7582,6117,14,Yes,No,goat,219,rooster,222,horse,223
212,9697,2624,6291,2154,1896,14,Yes,Yes,horse,146,goat,150,rooster,155
3531,8730,8562,2178,4113,4615,14,Yes,Yes,dragon,234,monkey,252,goat,262
799,9862,8392,6566,7642,6466,24,Yes,No,goat,294,rooster,300,monkey,304
9359,7982,3438,6469,4238,1759,37,Yes,Yes,ox,195,rabbit,229,pig,229
6045,6001,9546,2506,7094,8945,24,Yes,No,tiger,314,monkey,316,snake,322
6450,445,6108,4728,3911,7036,22,Yes,No,dog,216,rat,230,snake,231
2844,3753,6481,7129,130,5162,28,Yes,No,rat,191,dog,206,dragon,207
3191,8224,6693,1699,2365,3621,10,Yes,No,dragon,186,monkey,204,goat,211
9510,2083,9765,8847,5686,6290,35,Yes,Yes,pig,266,rabbit,278,ox,280
4227,9766,5552,9142,7092,2877,10,Yes,Yes,horse,283,goat,300,rooster,309
6133,1314,4278,3506,823,2985,40,Yes,No,rabbit,128,pig,131,ox,133
2254,2318,8184,7065,2357,6690,32,Yes,No,rat,226,dog,233,dragon,238
382,4403,5414,568,9348,6288,38,Yes,Yes,pig,178,ox,180,monkey,185
9406,4880,8891,7311,1488,5981,25,Yes,Yes,rat,280,dog,297,snake,311
9219,1230,1514,6219,9302,5224,35,Yes,Yes,ox,170,rabbit,202,pig,211
5989,4264,4677,3444,1646,9068,14,Yes,Yes,monkey,233,goat,243,dragon,249
3580,667,6257,9984,2605,1554,36,Yes,Yes,pig,126,ox,149,rabbit,150
1721,6717,3035,2311,8558,3678,28,Yes,No,goat,184,monkey,188,tiger,193
398,2835,9077,7519,2461,5879,21,Yes,Yes,rat,218,rooster,224,dragon,225
9726,8329,4807,8851,9196,2336,15,Yes,No,horse,327,monkey,358,goat,364
7995,876,4611,2386,4646,4131,13,Yes,No,monkey,210,dragon,222,horse,225
5413,4510,9121,1456,1572,2694,15,Yes,Yes,dragon,182,monkey,217,rat,228
4549,4078,6448,3178,7099,6293,28,Yes,No,tiger,244,snake,248,monkey,249
2413,4833,3727,7019,8611,3963,38,Yes,No,ox,170,pig,183,rabbit,192
955,8250,9611,2117,4820,4,25,Yes,Yes,dragon,173,tiger,187,rat,192
4682,7350,2280,596,5539,9681,16,Yes,Yes,monkey,212,goat,214,snake,231
6892,6805,1490,6532,6274,4193,34,Yes,Yes,horse,234,snake,239,dog,244
680,5816,1776,4916,8580,6179,23,Yes,Yes,goat,184,rooster,196,monkey,200
6258,6000,7815,163,1045,8150,17,Yes,No,dragon,228,rat,230,monkey,237
4054,6161,5273,7416,8605,9567,11,Yes,No,goat,312,monkey,316,horse,326
2299,6871,5000,9855,8967,1211,24,Yes,No,horse,246,snake,257,rooster,257
5481,9360,185,188,2663,8390,40,Yes,No,rabbit,162,ox,163,goat,177
1967,8683,1529,6804,4864,6077,23,Yes,No,goat,198,horse,205,rooster,215
6796,4463,5985,818,8415,8444,24,Yes,Yes,monkey,265,tiger,268,snake,269
6797,3511,6126,4010,5940,9591,10,Yes,Yes,monkey,285,goat,305,dragon,314
5862,1259,8526,9852,3180,2809,36,Yes,No,pig,180,rabbit,203,ox,205
5893,3046,2248,7480,8623,6794,10,Yes,No,horse,263,monkey,268,goat,270
7350,8099,5080,5261,9262,3331,30,Yes,Yes,snake,288,tiger,292,rat,300
5224,107,2722,2454,214,439,31,Yes,No,rat,80,dog,84,snake,92
9535,7482,2712,5786,8466,4822,24,Yes,Yes,snake,289,dog,295,horse,297
7842,1365,184,4473,4289,2087,39,Yes,Yes,ox,104,rabbit,127,pig,138
346,3370,8114,1830,3198,9385,24,Yes,No,monkey,202,dragon,207,goat,211
6352,8150,4268,3087,5218,1303,27,Yes,Yes,rat,215,snake,216,tiger,218
9892,4508,8808,5142,9711,3121,33,Yes,Yes,tiger,309,snake,316,rat,321
8603,1583,7668,6756,5733,7924,25,Yes,No,dog,288,snake,303,rat,305
9968,3516,4392,4451,4568,2065,15,Yes,No,horse,241,monkey,251,dragon,252
5915,1676,1889,9023,5592,939,32,Yes,No,horse,179,dog,179,snake,185
5318,3131,3540,978,9714,4324,36,Yes,No,ox,171,pig,185,rabbit,194
1290,2151,797,3256,9345,5556,18,Yes,No,goat,153,monkey,156,snake,160
4116,3082,8483,916,3661,7675,17,Yes,Yes,tiger,221,dragon,225,monkey,225
2059,4895,7944,8267,2647,8848,34,Yes,No,rat,272,rooster,279,goat,280
9089,7974,880,9275,7079,3973,40,Yes,No,ox,193,rabbit,235,pig,253
5146,4453,2642,7626,7284,1444,37,Yes,No,ox,152,pig,169,rabbit,185
9832,2527,4298,379,5916,7469,29,Yes,Yes,dog,227,snake,233,tiger,238
6863,4845,2517,8905,1236,4481,32,Yes,No,horse,207,rat,214,dog,218
6008,2779,6684,1348,8563,7386,31,Yes,No,tiger,248,snake,253,monkey,255
8107,3823,5798,7589,6330,1151,19,Yes,Yes,rat,247,snake,251,dog,251
411,7802,7286,3099,8025,8088,23,Yes,No,goat,253,monkey,254,rooster,263
2758,4308,5846,6619,1544,4199,32,Yes,No,rat,190,horse,202,dragon,205
1189,4038,3215,1351,4314,5476,32,Yes,Yes,goat,144,monkey,144,snake,155
730,5320,5977,9726,4405,4624,10,Yes,No,rooster,228,horse,229,goat,238
1603,5931,7950,5556,9724,5578,14,Yes,No,monkey,282,goat,286,rooster,286
5141,9247,7074,562,2579,3672,19,Yes,No,dragon,204,rat,212,tiger,220
8845,5427,9314,7730,4,229,37,Yes,No,pig,204,rat,215,ox,227
192,9773,956,439,2184,9991,21,Yes,Yes,goat,128,monkey,151,rooster,163
8287,5075,1022,6760,7871,1310,18,Yes,No,snake,218,horse,220,dog,224
6783,189,5633,6725,3041,8351,15,Yes,No,monkey,263,horse,265,goat,280
2716,8971,1420,3322,7756,4327,14,Yes,No,goat,192,monkey,206,horse,208
5936,8844,2142,366,9125,8821,15,Yes,Yes,monkey,248,goat,252,horse,286
1598,7280,5988,3472,9970,9222,21,Yes,Yes,goat,270,monkey,271,snake,288
7781,7852,2242,9242,7299,4815,11,Yes,No,horse,282,goat,309,monkey,316
6211,6023,5661,5446,3185,4395,32,Yes,Yes,rat,234,snake,246,dog,247
5478,4329,8128,8420,4022,9561,32,Yes,No,dog,314,rat,315,snake,324
9614,3074,8320,6585,1971,2247,20,Yes,No,rat,229,dog,248,tiger,257
1122,1527,8931,9453,5265,1731,32,Yes,No,pig,196,rat,214,tiger,222
4209,7609,8689,3049,4570,2121,22,Yes,No,dragon,225,rat,227,tiger,229
9519,412,6379,1140,5196,2006,12,Yes,No,dragon,216,monkey,218,tiger,229
1491,3537,1056,3332,4152,2745,21,Yes,No,goat,116,horse,119,snake,123
510,8178,2792,3743,889,4020,24,Yes,Yes,goat,134,horse,144,rooster,145
7854,8570,6633,8570,9995,7223,23,Yes,No,snake,373,dog,382,horse,385
2706,3604,8043,6836,3368,496,29,Yes,Yes,rat,183,tiger,196,dragon,196
9626,8444,2934,4381,3150,5898,26,Yes,No,rat,263,snake,266,horse,268
2673,8718,6643,8203,5658,9263,36,Yes,Yes,rabbit,250,ox,256,pig,270
6564,713,1929,8636,9949,4739,34,Yes,No,dog,231,snake,236,horse,250
6553,6201,3587,2799,8801,2900,16,Yes,No,snake,227,tiger,229,monkey,239
4480,7655,5427,5058,3344,784,23,Yes,Yes,rat,195,dragon,205,horse,207
5042,4823,3663,8342,2559,2157,20,Yes,No,horse,193,rat,196,dog,207
589,3765,110,4216,6628,7852,13,Yes,No,goat,143,rooster,160,monkey,161
8154,6486,5521,8341,3316,2948,16,Yes,No,rat,256,horse,267,dog,271
9796,4666,4406,9504,3596,1113,23,Yes,No,rat,240,dog,248,horse,249
6689,1671,7110,7551,6781,5508,17,Yes,No,dog,269,snake,276,rat,280
9376,9091,3224,1075,2253,662,34,Yes,Yes,rat,184,dragon,198,snake,198
5828,8343,2813,3240,4092,8036,26,Yes,No,goat,241,monkey,247,snake,251
9485,9303,7564,4442,6544,3903,26,Yes,No,rat,314,tiger,320,snake,321
8423,5441,788,5640,9331,2815,17,Yes,Yes,snake,231,dog,239,horse,242
8835,1495,7460,3872,9637,4918,32,Yes,No,tiger,271,dog,273,snake,276
8932,6068,619,8597,2855,3847,35,Yes,No,ox,157,rabbit,180,pig,210
9061,6130,3911,3174,1737,293,25,Yes,Yes,rat,172,snake,191,tiger,194
1285,2756,4312,1411,2931,2470,14,Yes,No,dragon,119,monkey,123,goat,129
3780,5866,5670,5826,2223,3261,37,Yes,Yes,pig,175,ox,176,rabbit,178
3874,4343,9658,8726,1096,7439,37,Yes,No,rabbit,216,pig,224,ox,245
6943,6455,5600,3209,7041,9287,30,Yes,Yes,monkey,297,snake,299,dog,302
7126,9208,4124,7962,2355,3514,11,Yes,No,horse,249,dragon,280,goat,280
8072,5231,91,7361,5925,6906,37,Yes,No,ox,171,rabbit,190,pig,231
3760,6409,8446,4730,8141,9090,37,Yes,No,rabbit,268,ox,272,pig,273
2345,2979,9834,9678,6483,668,13,Yes,No,pig,232,dragon,258,horse,264
2147,1092,4417,8222,2796,7574,23,Yes,No,dog,199,horse,209,rooster,211
4513,436,2981,4115,3531,2436,39,Yes,Yes,ox,110,pig,112,rabbit,118
3558,5227,7199,2344,5417,485,25,Yes,Yes,tiger,176,rat,183,dragon,183
832,154,664,4422,6809,341,13,Yes,Yes,pig,86,ox,90,horse,96
4427,1430,8910,9411,3779,2600,32,Yes,Yes,rat,227,pig,236,dog,241
7185,3851,9035,397,7097,8519,24,Yes,Yes,tiger,276,monkey,285,snake,288
